word,yomi,syllables,season
藍蒔く,あいまく,4,spring
青木の花,あおきのはな,6,spring
石蓴,あおさ,3,spring
青饅,あおぬた,4,spring
青麦,あおむぎ,4,spring
通草の花,あけびのはな,6,spring
胡葱,あさつき,4,spring
朝寝,あさね,3,spring
麻蒔く,あさまく,4,spring
浅蜊,あさり,3,spring
薊,あざみ,3,spring
明日葉,あしたば,4,spring
蘆の角,あしのつの,5,spring
蘆の若葉,あしのわかば,6,spring
馬酔木の花,あしびのはな,6,spring
蘆焼く,あしやく,4,spring
アスパラガス,あすぱらがす,6,spring
アズマイチゲ,あずまいちげ,6,spring
東菊,あずまぎく,5,spring
畦塗,あぜぬり,4,spring
暖か,あたたか,4,spring
アネモネ,あねもね,4,spring
虻,あぶ,2,spring
海女,あま,2,spring
甘茶,あまちゃ,3,spring
鮎汲,あゆくみ,4,spring
杏の花,あんずのはな,6,spring
飯蛸,いいだこ,4,spring
鮊子,いかなご,4,spring
伊勢参,いせまいり,5,spring
磯遊び,いそあそび,5,spring
磯竈,いそかまど,5,spring
磯巾着,いそぎんちゃく,6,spring
磯菜摘,いそなつみ,5,spring
虎杖,いたどり,4,spring
苺の花,いちごのはな,6,spring
一の午,いちのうま,5,spring
銀杏の花,いちょうのはな,6,spring
一輪草,いちりんそう,6,spring
凍解,いてどけ,4,spring
犬ふぐり,いぬふぐり,5,spring
芋植う,いもうう,4,spring
岩燕,いわつばめ,5,spring
魚島,うおじま,4,spring
萍生ひ初む,うきくさおいそむ,8,spring
鶯,うぐいす,4,spring
鶯菜,うぐいすな,5,spring
鶯餅,うぐいすもち,6,spring
五加木,うこぎ,3,spring
海髪,うご,2,spring
牛蛙,うしかえる,5,spring
雨水,うすい,3,spring
薄氷,うすらい,4,spring
鷽,うそ,2,spring
独活,うど,2,spring
海胆,うに,2,spring
苜蓿,うまごやし,5,spring
厩出し,うまやだし,5,spring
海明け,うみあけ,4,spring
梅,うめ,2,spring
梅見,うめみ,3,spring
梅若忌,うめわかき,5,spring
麗か,うららか,4,spring
うりずん,うりずん,4,spring
瓜坊,うりぼう,4,spring
魞挿す,えりさす,4,spring
遠足,えんそく,4,spring
豌豆の花,えんどうのはな,7,spring
桜桃の花,おうとうのはな,7,spring
黄梅,おうばい,4,spring
大石忌,おおいしき,5,spring
小賀玉の花,おがたまのはな,7,spring
オキザリス,おきざりす,5,spring
翁草,おきなぐさ,5,spring
遅桜,おそざくら,5,spring
苧環の花,おだまきのはな,7,spring
御告祭,おつげさい,5,spring
落し角,おとしづの,5,spring
朧,おぼろ,3,spring
朧月,おぼろつき,5,spring
お水取,おみずとり,5,spring
御身拭,おみぬぐい,5,spring
蚕,かいこ,3,spring
開帳,かいちょう,4,spring
海棠,かいどう,4,spring
貝寄風,かいよせ,4,spring
楓の花,かえでのはな,6,spring
楓の芽,かえでのめ,5,spring
蛙,かえる,3,spring
帰る雁,かえるかり,5,spring
垣繕ふ,かきつくろう,6,spring
陽炎,かげろう,4,spring
風車,かざぐるま,5,spring
樫の花,かしのはな,5,spring
搗布,かじめ,3,spring
果樹植う,かじゅうう,4,spring
春日祭,かすがまつり,6,spring
霞,かすみ,3,spring
数の子製す,かずのこせいす,7,spring
風光る,かぜひかる,5,spring
片栗の花,かたくりのはな,7,spring
蝌蚪,かと,2,spring
鐘供養,かねくよう,5,spring
花粉症,かふんしょう,5,spring
亀鳴く,かめなく,4,spring
鴨川踊,かもがわおどり,7,spring
髢草,かもじぐさ,5,spring
芥菜,からしな,4,spring
烏貝,からすがい,5,spring
鴉の巣,からすのす,5,spring
枸橘の花,からたちのはな,7,spring
蛙の目借時,かわずのめかりどき,9,spring
寒明,かんあけ,4,spring
観潮,かんちょう,4,spring
雁風呂,がんぶろ,4,spring
